t_seconds,latency_ms
2.685001,91.9695
2.655415,129.3178
2.077109,709.1017
2.768953,24.3540
2.525991,269.1454
2.589521,206.6532
2.616111,186.2131
2.684053,119.8437
2.715628,89.2998
2.699864,107.6894
2.602750,209.9703
2.605232,208.4553
2.639943,178.0859
2.759425,59.9669
2.793308,29.0790
2.646987,179.4067
2.725685,106.5019
2.595344,239.5308
2.609980,225.9014
2.672080,165.2635
2.776971,64.2049
2.575296,267.7424
2.819393,28.3437
2.529285,320.5772
2.826394,27.0813
2.690067,167.0762
2.683108,179.8463
2.728596,137.2924
2.757680,109.2402
2.708851,160.8089
2.847737,25.0057
2.762447,115.5540
2.796175,85.3194
2.857144,25.3369
2.802325,84.5169
2.773233,120.2977
2.720926,174.7402
2.862955,35.9058
2.745766,162.2763
2.813688,97.8354
2.736121,176.3660
2.707831,206.4740
2.631586,284.6509
2.572619,346.5684
2.832188,90.4609
2.803897,123.2564
2.804928,126.7921
2.784733,152.6929
2.835882,104.6726
2.818030,123.4789
2.908043,34.3936
2.319261,627.4284
2.919188,28.5032
2.632951,320.8489
2.872743,83.0473
2.740021,218.9560
2.911524,49.1387
2.937426,26.9540
2.940555,24.7878
2.941509,27.4411
2.865889,104.1818
2.841177,133.6766
2.898862,79.9348
2.849862,129.8720
2.886842,97.9562
2.869661,116.5002
2.073547,915.9475
2.931721,60.0051
2.893531,102.4072
2.965343,31.6229
2.895667,106.3402
2.812721,192.6688
2.922649,86.1155
2.834875,180.6279
2.979735,38.5033
2.964381,55.6751
2.986162,41.3180
2.677802,352.2809
2.795137,236.7213
2.807554,225.2510
2.974854,60.4374
2.843038,194.7535
3.002008,38.3108
2.946690,94.5930
2.970072,78.0386
3.005390,44.2274
2.749112,304.7509
2.960663,94.5887
2.912487,145.9486
2.968951,92.9371
2.942439,121.1001
2.771239,296.7589
2.559058,515.0024
2.882481,194.0594
3.053864,25.5772
2.991726,89.1120
3.035292,48.5840
2.978797,111.3347
3.040319,51.9214
2.822387,271.3131
3.067998,32.5828
2.878001,224.8891
2.984799,119.5348
2.774775,333.6232
3.008765,101.1428
2.927154,188.9482
3.041283,76.7834
2.947691,174.6606
2.741930,381.4126
2.881495,251.3203
2.837344,298.1733
3.031859,105.1337
2.786211,351.7972
3.080839,59.8166
3.027480,114.9581
3.083876,60.3226
2.853476,301.3552
3.123343,32.4026
2.995939,162.7788
3.030084,129.7008
3.058436,102.2828
3.104334,57.3395
3.037792,130.2840
3.061888,107.2400
3.015503,156.1901
2.866921,309.1631
3.154832,22.2047
2.916237,266.1848
3.160720,25.3998
3.092241,95.5109
2.996967,196.8838
3.020056,174.8616
3.171694,24.1951
2.989495,213.4557
2.578801,630.4510
3.187752,24.9084
3.138009,77.3168
3.161674,54.7167
3.122353,95.0527
3.079441,142.5019
3.055252,170.9231
3.102891,124.2121
3.159785,75.3707
3.063539,172.5780
2.738859,502.1017
2.958977,285.6961
3.109909,136.1596
2.702499,546.3782
3.090132,160.3500
3.100582,150.9175
3.135518,116.9335
3.177037,82.5575
3.235156,25.8352
3.236118,27.8672
3.186120,81.5819
3.216391,55.4319
3.212661,60.6872
3.193851,82.2663
2.955791,323.1830
3.049618,231.1451
3.209252,72.5143
3.226176,61.7975
3.267702,24.5837
2.483926,820.6753
3.108398,197.5591
3.202952,104.4269
3.136994,172.2543
3.142439,168.4393
3.194918,117.9260
3.215326,103.2738
3.195889,123.6843
3.221944,101.5440
2.914306,412.4820
3.182422,146.3376
3.168077,162.9890
3.246069,88.9772
3.048111,292.5940
3.273349,68.7497
3.217406,131.7956
3.252452,98.4489
3.132816,219.0286
3.326788,27.9101
3.307379,49.2118
3.278974,82.1328
3.240961,122.1017
3.292287,71.9501
3.342099,28.2488
3.116103,257.8939
3.305958,71.2049
